Producto,Archivo,Original,Ancho,Alto
Croissant Natural,croissant-natural.webp,1_Croissant Natural.jpg,514,913
Docena Mini Croissant Natural,docena-mini-croissant-natural.webp,2_Docena Mini Croissant Natural.jpg,1200,2128
Croissant Chocolate Almendra,croissant-chocolate-almendra.webp,3_Croissant Chocolate Almendra.jpg,514,913
Docena Mini Croissant Surtidos,docena-mini-croissant-surtidos.webp,4_Docena Mini Croissant Surtidos.jpg,1200,2128
Croissant Pumpkin Spice,croissant-pumpkin-spice.webp,5_Croissant Pumpkin Spice.jpg,514,913
Crookie,crookie.webp,6_Crookie.jpg,1152,2048
Chocolatine,chocolatine.webp,7_Chocolatine.jpg,1200,2128
Docena Mini Chocolatine,docena-mini-chocolatine.webp,8_Docena Mini Chocolatine.jpg,1200,2128
Scrudel Manzana,scrudel-manzana.webp,9_Scrudel Manzana.jpg,1200,2128
Trenza de Manzana,trenza-de-manzana.webp,10_Trenza de Manzana.jpg,1200,2133
Cruffin Nutella,cruffin-nutella.webp,11_Cruffin Nutella.jpg,1155,2048
Kouign-amann,kouign-amann.webp,12_Kouign-amann.jpg,1200,2128
Kouign-amann Churro,kouign-amann-churro.webp,13_Kouign-amann Churro.jpg,1200,2128
Croissant Cinnamon Roll,croissant-cinnamon-roll.webp,14_Croissant Cinnamon Roll.jpg,1200,2128
Pan de Muerto,pan-de-muerto.webp,15_Pan de Muerto.jpg,514,913
Docena Mini Pan de Muerto,docena-mini-pan-de-muerto.webp,16_Docena Mini Pan de Muerto.jpg,1200,2128
Galleta Chispas,galleta-chispas.webp,17_Galleta Chispas.jpg,1080,1920
Galleta Birthday Cake,galleta-birthday-cake.webp,18_Galleta Birthday Cake.jpg,1200,2133
Galleta S'mores,galleta-s-mores.webp,19_Galleta S'mores.jpg,1200,2133
Galleta Pumpkin Spice,galleta-pumpkin-spice.webp,20_Galleta Pumpkin Spice.png,941,1672
